signal,event,time_seconds,value,baseline,threshold
HR,ACTIVATED,34.020019,78.52999877929688,57.73600082397461,66.7360008239746
HR,DEACTIVATED,39.120649,65.69999694824219,57.73600082397461,66.7360008239746
HR,ACTIVATED,42.221584,69.5,57.73600082397461,66.7360008239746
HR,DEACTIVATED,67.560376,63.810001373291016,57.73600082397461,66.7360008239746
HR,ACTIVATED,68.393105,67.16999816894531,57.73600082397461,66.7360008239746
HR,DEACTIVATED,75.494735,58.18000030517578,57.73600082397461,66.7360008239746
HR,ACTIVATED,79.562161,71.75,57.73600082397461,66.7360008239746
HR,DEACTIVATED,82.062733,63.68000030517578,57.73600082397461,66.7360008239746
HR,ACTIVATED,85.332589,76.41999816894531,57.73600082397461,66.7360008239746
HR,DEACTIVATED,89.380521,58.540000915527344,57.73600082397461,66.7360008239746
HR,ACTIVATED,97.983007,67.7699966430664,57.73600082397461,66.7360008239746
HR,DEACTIVATED,99.349884,62.810001373291016,57.73600082397461,66.7360008239746
HR,ACTIVATED,99.849222,71.08000183105469,57.73600082397461,66.7360008239746
HR,DEACTIVATED,102.08384,61.45000076293945,57.73600082397461,66.7360008239746
HR,ACTIVATED,102.483714,81.12999725341797,57.73600082397461,66.7360008239746
HR,DEACTIVATED,105.684493,64.77999877929688,57.73600082397461,66.7360008239746
HR,ACTIVATED,110.954846,91.4800033569336,57.73600082397461,66.7360008239746
HR,DEACTIVATED,119.687237,63.79999923706055,57.73600082397461,66.7360008239746
