signal,event,time_seconds,value,baseline,threshold
HR,ACTIVATED,28.769761,57.95000076293945,48.04799957275391,57.04799957275391
HR,DEACTIVATED,37.271774,53.08000183105469,48.04799957275391,57.04799957275391
HR,ACTIVATED,58.943289,71.08000183105469,48.04799957275391,57.04799957275391
HR,DEACTIVATED,67.160898,54.65999984741211,48.04799957275391,57.04799957275391
HR,ACTIVATED,67.860921,60.060001373291016,48.04799957275391,57.04799957275391
HR,DEACTIVATED,70.094883,52.66999816894531,48.04799957275391,57.04799957275391
HR,ACTIVATED,78.763277,57.060001373291016,48.04799957275391,57.04799957275391
HR,DEACTIVATED,106.703643,55.72999954223633,48.04799957275391,57.04799957275391
HR,ACTIVATED,107.336008,62.95000076293945,48.04799957275391,57.04799957275391
HR,DEACTIVATED,109.502873,55.25,48.04799957275391,57.04799957275391
HR,ACTIVATED,110.436483,57.470001220703125,48.04799957275391,57.04799957275391
