signal,event,time_seconds,value,baseline,threshold
HR,ACTIVATED,7.498644,77.86000061035156,67.64769216684195,76.64769216684195
HR,DEACTIVATED,10.632175,71.05000305175781,67.64769216684195,76.64769216684195
HR,ACTIVATED,38.220933,103.25,67.64769216684195,76.64769216684195
HR,DEACTIVATED,48.357359,74.05000305175781,67.64769216684195,76.64769216684195
HR,ACTIVATED,51.090341,77.37999725341797,67.64769216684195,76.64769216684195
HR,DEACTIVATED,52.723718,68.51000213623047,67.64769216684195,76.64769216684195
HR,ACTIVATED,56.391759,77.7300033569336,67.64769216684195,76.64769216684195
HR,DEACTIVATED,57.524485,73.27999877929688,67.64769216684195,76.64769216684195
HR,ACTIVATED,71.161036,76.97000122070312,67.64769216684195,76.64769216684195
HR,DEACTIVATED,72.894013,67.61000061035156,67.64769216684195,76.64769216684195
HR,ACTIVATED,95.832358,92.5,67.64769216684195,76.64769216684195
HR,DEACTIVATED,98.534356,74.4800033569336,67.64769216684195,76.64769216684195
HR,ACTIVATED,103.633327,78.95999908447266,67.64769216684195,76.64769216684195
HR,DEACTIVATED,105.966412,76.45999908447266,67.64769216684195,76.64769216684195
HR,ACTIVATED,106.599949,83.27999877929688,67.64769216684195,76.64769216684195
HR,DEACTIVATED,109.033362,69.94999694824219,67.64769216684195,76.64769216684195
HR,ACTIVATED,111.834039,80.19999694824219,67.64769216684195,76.64769216684195
HR,DEACTIVATED,114.701119,73.70999908447266,67.64769216684195,76.64769216684195
HR,ACTIVATED,115.201158,87.62999725341797,67.64769216684195,76.64769216684195
HR,DEACTIVATED,117.235054,76.19999694824219,67.64769216684195,76.64769216684195
HR,ACTIVATED,122.969471,90.36000061035156,67.64769216684195,76.64769216684195
HR,DEACTIVATED,125.369745,76.05999755859375,67.64769216684195,76.64769216684195
EDA,ACTIVATED,125.782577,0.0840430036187172,0.07699602036862756,0.08399602036862756
HR,ACTIVATED,125.869979,86.94000244140625,67.64769216684195,76.64769216684195
EDA,DEACTIVATED,125.973983,0.0839930027723312,0.07699602036862756,0.08399602036862756
EDA,ACTIVATED,126.073892,0.0840089991688728,0.07699602036862756,0.08399602036862756
EDA,DEACTIVATED,126.174202,0.0838949978351593,0.07699602036862756,0.08399602036862756
EDA,ACTIVATED,126.278921,0.0839999988675117,0.07699602036862756,0.08399602036862756
EDA,DEACTIVATED,126.474071,0.0839549973607063,0.07699602036862756,0.08399602036862756
EDA,ACTIVATED,126.572645,0.0841339975595474,0.07699602036862756,0.08399602036862756
