signal,event,time_seconds,value,baseline,threshold
HR,ACTIVATED,10.764152,102.8000030517578,93.76333321465387,102.76333321465387
HR,DEACTIVATED,11.998324,98.25,93.76333321465387,102.76333321465387
HR,ACTIVATED,16.399097,106.93000030517578,93.76333321465387,102.76333321465387
HR,DEACTIVATED,18.216006,100.52999877929688,93.76333321465387,102.76333321465387
HR,ACTIVATED,18.733145,108.48999786376952,93.76333321465387,102.76333321465387
HR,DEACTIVATED,20.98325,99.83000183105467,93.76333321465387,102.76333321465387
HR,ACTIVATED,21.916266,115.9499969482422,93.76333321465387,102.76333321465387
HR,DEACTIVATED,24.35069,95.1500015258789,93.76333321465387,102.76333321465387
HR,ACTIVATED,24.783559,107.33999633789062,93.76333321465387,102.76333321465387
HR,DEACTIVATED,29.317431,96.31999969482422,93.76333321465387,102.76333321465387
HR,ACTIVATED,29.717505,105.22000122070312,93.76333321465387,102.76333321465387
HR,DEACTIVATED,33.28506,85.66999816894531,93.76333321465387,102.76333321465387
HR,ACTIVATED,34.185524,103.38999938964844,93.76333321465387,102.76333321465387
HR,DEACTIVATED,34.819503,102.63999938964844,93.76333321465387,102.76333321465387
HR,ACTIVATED,35.219759,113.16000366210938,93.76333321465387,102.76333321465387
HR,DEACTIVATED,36.152691,102.51000213623048,93.76333321465387,102.76333321465387
HR,ACTIVATED,64.426037,109.83000183105467,93.76333321465387,102.76333321465387
HR,DEACTIVATED,66.257089,95.70999908447266,93.76333321465387,102.76333321465387
HR,ACTIVATED,67.162166,105.13999938964844,93.76333321465387,102.76333321465387
HR,DEACTIVATED,68.39415,93.2699966430664,93.76333321465387,102.76333321465387
HR,ACTIVATED,68.827398,102.8499984741211,93.76333321465387,102.76333321465387
HR,DEACTIVATED,69.628028,96.66000366210938,93.76333321465387,102.76333321465387
